time,pv_kwh,load_kwh,net_grid_kwh,source_battery_kwh,reconstructed_load_kwh,is_observed_hour,price,hour,day,day_of_week,month,predicted_pv_1h,predicted_load_1h,predicted_pv_2h,predicted_load_2h,predicted_pv_3h,predicted_load_3h
2019-05-09 04:00:00,0.0,75.47768607662825,75.44480167662824,0.0328844,75.47768607662825,True,0.1,4,weekday,3,5,0.32449255351852385,73.56302448454088,6.389199186623967,78.71290935173974,37.99203189551688,82.29967314383742
2019-05-09 05:00:00,0.0,73.89926209346831,73.863568140438,0.035693953030303,73.89926209346831,True,0.1,5,weekday,3,5,6.427671616542891,78.63467063716475,39.36524922623392,82.36935330403017,69.7674793993313,89.82496406175937
2019-05-09 06:00:00,7.099405196538461,83.780387871951,76.6312275241305,0.04975515128205129,83.780387871951,True,0.1,6,weekday,3,5,38.44726125535528,82.86894837808741,68.95105097034991,87.86117516744886,103.21987383481064,95.05189274858162
2019-05-09 07:00:00,37.227074618888885,84.86564676094638,47.558426924001935,0.08014521805555554,84.86564676094638,True,0.18,7,weekday,3,5,66.12871378140832,89.37745748647312,99.88538994868854,97.5645138711345,123.0923915594889,99.49896572525964
2019-05-09 08:00:00,71.06769059393939,89.29722833137481,18.166426825314215,0.06311091212121213,89.29722833137481,True,0.18,8,weekday,3,5,102.25678633681304,96.51690126562939,121.86420365143599,100.92021398190565,128.39314641768263,99.10432263093136
2019-05-09 09:00:00,100.70394841538463,99.1365243056153,14.421264001756935,-15.98868811152626,99.1365243056153,True,0.18,9,weekday,3,5,121.65195142009009,100.94929276940243,131.13219717667099,98.03884115785617,131.74995894431905,99.82273134771589
2019-05-09 10:00:00,120.391255275,105.29441291759633,14.946006916529655,-30.04284927393333,105.29441291759633,True,0.18,10,weekday,3,5,129.02014921626062,100.515602871647,133.1184741180093,100.82227995824783,123.96051665491508,104.29173076266565
2019-05-09 11:00:00,129.17346801818184,97.13061568811821,-2.0629750542543888,-29.979877275809216,97.13061568811821,True,0.18,11,weekday,3,5,132.28407334107928,100.42340806341673,125.37386484698345,104.06180280203509,116.70378185808035,98.88537682071002
2019-05-09 12:00:00,129.16967304615383,97.2059107457562,-2.1626902016823775,-29.801072098715277,97.20591074575617,True,0.18,12,weekday,3,5,123.35718759512055,104.09593460178625,115.43896573972764,96.85622641163005,101.33986780833797,97.58006111858566
2019-05-09 13:00:00,120.21243463333333,104.73797906304277,9.396545389772728,-24.871000960063288,104.73797906304277,True,0.18,13,weekday,3,5,115.30799773213408,97.25547715926703,102.30119838888832,96.67980970082198,75.6804867814327,95.0708020655206
2019-05-09 14:00:00,118.67912508181817,96.74289168312947,-3.88415817863099,-18.052075220057716,96.74289168312947,True,0.18,14,weekday,3,5,99.55021767373061,95.93290172560984,74.90444727564969,94.82556440647976,42.32429140723081,87.47967772269318
2019-05-09 15:00:00,108.08786242564102,96.09584878177772,-3.3638509864950215,-8.628162657368273,96.09584878177772,True,0.18,15,weekday,3,5,78.34634454059731,93.85645231047974,44.12303450991667,87.20985205488326,16.59205038990399,86.40138709138948
2019-05-09 16:00:00,79.909223075,95.78764707027106,-14.416876915804009,30.295300911075074,95.78764707027106,True,0.32,16,weekday,3,5,44.33331608054126,88.49351999932553,18.328482199216452,86.0985805236707,4.368882646431496,86.63355076280789
2019-05-09 17:00:00,45.07944660424242,85.89926524668503,10.646771027468771,30.173047614973836,85.89926524668503,True,0.32,17,weekday,3,5,18.233249181469546,86.97827582514789,4.451213240157253,87.95938636551067,0.4718630165445445,83.36785677268068
2019-05-09 18:00:00,13.139157692307693,85.9668203033585,42.57177835496565,30.25588425608516,85.9668203033585,True,0.32,18,weekday,3,5,4.215487622442899,86.49813543004211,0.27613279960791093,83.77292159581093,0.05062215440195098,77.25609790479872
2019-05-09 19:00:00,3.414411288888889,89.20038911067444,55.49005287207918,30.295924949706365,89.20038911067444,True,0.32,19,weekday,3,5,0.18479305820203587,83.30051574127579,0.029576066791041144,77.79153194350687,0.03304235482677854,77.62266155501405
2019-05-09 20:00:00,0.0,83.38398759556918,53.82840978058109,29.55557781498809,83.38398759556918,True,0.32,20,weekday,3,5,0.06327442327037436,78.18976628669272,0.020657581256627033,78.68442777512605,0.023339094461772875,76.79216463084504
2019-05-09 21:00:00,0.0,78.07676165661198,77.72317189507352,0.3535897615384616,78.07676165661198,True,0.32,21,weekday,3,5,0.0392175913274322,78.02579608965608,0.01890319908924889,77.06165748478513,0.0,75.74684102184324
2019-05-09 22:00:00,0.0,78.80400011747427,78.71493553011317,0.08906458736111107,78.80400011747427,True,0.1,22,weekday,3,5,0.008879163393422087,76.35275742218161,0.016020135498052854,76.01441972835725,0.0,75.20400094750629
2019-05-09 23:00:00,0.0,79.50153001487742,79.46691528972589,0.03461472515151518,79.50153001487742,True,0.1,23,weekday,3,5,0.0,76.04849773240235,0.0,74.44145998577739,0.0,75.49952653598635
2019-05-10 00:00:00,0.0,77.32396474228749,77.28181200280031,0.042152739487179486,77.32396474228749,True,0.1,0,weekday,4,5,0.0,76.62947681321918,0.005836801217234603,76.52526245545542,0.0,75.95517295698639
2019-05-10 01:00:00,0.0,76.26340517704891,76.2114593159378,0.05194586111111114,76.26340517704891,True,0.1,1,weekday,4,5,0.0,76.63918532857008,0.0,75.9871650253055,0.06522537433870436,76.08285826530698
2019-05-10 02:00:00,0.0,74.29270249790407,74.25462454487378,0.03807795303030303,74.29270249790407,True,0.1,2,weekday,4,5,0.0,75.9628834818081,0.0,76.14429714206344,0.16128708122672222,76.32915358075526
2019-05-10 03:00:00,0.0,75.9742810223154,75.85704674667437,0.11723427564102562,75.9742810223154,True,0.1,3,weekday,4,5,0.0,74.57377745495603,0.24772057600619626,75.66673158485767,8.089354088960068,79.73496200219064
2019-05-10 04:00:00,0.0,76.83740240761689,76.75341292011689,0.08398948750000007,76.83740240761689,True,0.1,4,weekday,4,5,0.31951626085180657,75.99741358514032,8.02329556699738,79.85898338176182,37.55672901087308,83.66631367431795
2019-05-10 05:00:00,0.0,75.72429917103699,75.6047946180067,0.11950455303030304,75.72429917103699,True,0.1,5,weekday,4,5,8.713721824459082,79.96630720460756,37.95496669214806,84.16331088238869,69.7981508774042,90.22653507161947
